text,rating,helpful_votes,verified,category
"Great battery life on these earbuds, lasted 8 hours easily.",5,12,True,Electronics
"Connection drops randomly after 10 minutes of use, very frustrating.",2,8,True,Electronics
"Sound quality is excellent for the price, clear highs and deep bass.",5,22,True,Electronics
"Stopped charging after two weeks. Complete waste of money.",1,31,True,Electronics
"Comfortable fit, wore them for 3 hours with no discomfort.",4,5,True,Electronics
"The noise cancellation works surprisingly well on flights.",5,18,True,Electronics
"Instructions are unclear and setup took forever.",2,4,True,Electronics
"Pairs instantly with my phone every time, no fuss.",5,9,True,Electronics
"Volume is too low even at max, cannot use outdoors.",2,6,True,Electronics
"Solid build quality, feels premium despite the low price.",4,14,True,Electronics
"Left earbud died after one month, right one still works.",1,27,True,Electronics
"Perfect for gym sessions, stayed in my ears the whole workout.",5,11,True,Electronics
"Microphone quality is poor for calls, people cannot hear me well.",2,7,False,Electronics
"Battery lasts about 6 hours which is fine for commuting.",4,3,True,Electronics
"Charging case is slim and fits in my pocket easily.",4,8,True,Electronics
"Audio cuts out whenever I move my phone more than 2 meters away.",1,19,True,Electronics
"Surprisingly good bass response for such small drivers.",4,10,True,Electronics
"The touch controls are too sensitive, keeps pausing my music.",2,13,True,Electronics
"Great value for money, sounds as good as earbuds costing twice as much.",5,25,True,Electronics
"Ear tips fall out constantly, had to buy replacement tips.",2,9,True,Electronics
"Excellent for podcasts and audiobooks, very clear voice reproduction.",5,6,True,Electronics
"Bluetooth range is around 8 meters before signal degrades.",3,2,True,Electronics
"Charging case cracked after dropping it once from desk height.",1,16,False,Electronics
"Auto-pause when I remove them from ears is a great feature.",4,7,True,Electronics
"The app is buggy and crashes on Android, but earbuds work fine.",3,4,True,Electronics
"Absolute top-tier sound quality, rivals headphones at 3x the price.",5,33,True,Electronics
"IPX4 rating holds up, used them in rain without any issues.",5,15,True,Electronics
"Charging takes 2 hours for only 5 hours of playback, disappointing.",2,11,True,Electronics
"Fit is snug and secure, suitable for running without adjustment.",5,8,True,Electronics
"The companion app is polished and has EQ options that actually work.",4,17,True,Electronics
"Only one earbud connects at a time, the other keeps disconnecting.",1,29,True,Electronics
"Decent mid-range sound, nothing exceptional but solid performer.",3,5,True,Electronics
"Light enough to forget I am wearing them during long meetings.",5,12,True,Electronics
"Latency is noticeable when watching videos, audio is out of sync.",2,20,True,Electronics
"Best purchase I made this year, highly recommend to anyone.",5,41,True,Electronics
